id,name,type,location,latitude,longitude,status,capacity
NODE001,Shanghai Port,supplier,Shanghai China,31.2304,121.4737,normal,50000
NODE002,Los Angeles Port,warehouse,Los Angeles USA,33.7405,-118.2713,normal,35000
NODE003,Hamburg Warehouse,warehouse,Hamburg Germany,53.5511,9.9937,normal,28000
NODE004,Berlin Distribution Center,destination,Berlin Germany,52.5200,13.4050,normal,15000
NODE005,Tokyo Supplier,supplier,Tokyo Japan,35.6762,139.6503,normal,42000
NODE006,Singapore Hub,warehouse,Singapore,1.3521,103.8198,congested,32000
NODE007,Chicago Warehouse,warehouse,Chicago USA,41.8781,-87.6298,normal,25000
NODE008,New York Store,destination,New York USA,40.7128,-74.0060,normal,8000
NODE009,Mumbai Port,supplier,Mumbai India,19.0760,72.8777,normal,38000
NODE010,Dubai Port,warehouse,Dubai UAE,25.2048,55.2708,normal,30000
NODE011,London Warehouse,warehouse,London UK,51.5074,-0.1278,normal,22000
NODE012,Paris Distribution Center,destination,Paris France,48.8566,2.3522,normal,12000
NODE013,Sydney Supplier,supplier,Sydney Australia,-33.8688,151.2093,normal,26000
NODE014,Melbourne Warehouse,warehouse,Melbourne Australia,-37.8136,144.9631,normal,20000
NODE015,São Paulo Factory,supplier,São Paulo Brazil,-23.5505,-46.6333,disrupted,18000
NODE016,Rio de Janeiro Store,destination,Rio de Janeiro Brazil,-22.9068,-43.1729,normal,7000
NODE017,Seoul Warehouse,warehouse,Seoul South Korea,37.5665,126.9780,normal,24000
NODE018,Busan Port,destination,Busan South Korea,35.1796,129.0756,normal,16000
NODE019,Toronto Supplier,supplier,Toronto Canada,43.6532,-79.3832,normal,21000
NODE020,Vancouver Store,destination,Vancouver Canada,49.2827,-123.1207,normal,9000
